time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,13.8,11.1,16.8,6.4,0.0,202.0,21.9,53.6,1014.0,0.0
2023-01-02,10.6,6.4,14.2,2.2,0.0,227.0,18.5,51.8,1016.4,0.0
2023-01-03,7.3,4.1,10.1,6.0,0.0,203.0,16.1,41.4,1026.3,90.0
2023-01-04,11.0,7.8,12.5,2.8,0.0,226.0,31.3,65.9,1016.6,0.0
2023-01-05,10.5,9.5,11.7,3.2,0.0,248.0,19.3,48.6,1019.2,36.0
2023-01-06,11.0,10.2,12.7,1.1,0.0,221.0,19.2,50.0,1018.0,12.0
2023-01-07,10.8,9.6,12.3,0.2,0.0,182.0,20.5,52.9,1011.9,222.0
2023-01-08,9.6,7.7,11.0,8.5,0.0,192.0,19.6,62.3,1001.4,204.0
2023-01-09,7.1,4.4,8.4,1.7,0.0,228.0,19.9,55.1,999.4,0.0
2023-01-10,6.1,4.0,8.4,8.4,0.0,209.0,20.4,58.0,1015.0,132.0
2023-01-11,9.6,7.9,11.0,7.5,0.0,227.0,24.9,61.6,1010.1,132.0
2023-01-12,9.8,8.0,10.9,10.2,0.0,227.0,33.5,63.7,1006.7,0.0
2023-01-13,8.6,7.3,10.2,0.3,0.0,239.0,27.3,68.4,1007.4,24.0
2023-01-14,8.6,6.0,12.0,14.0,0.0,214.0,27.0,63.7,1006.2,0.0
2023-01-15,6.7,5.2,7.6,1.3,0.0,230.0,28.8,74.5,1000.1,72.0
2023-01-16,5.2,3.9,6.7,9.0,0.0,184.0,24.6,56.9,985.0,0.0
2023-01-17,1.4,-3.0,4.9,0.0,0.0,240.0,13.5,50.0,987.3,282.0
2023-01-18,0.2,-3.5,4.0,1.8,0.0,219.0,12.4,32.8,996.2,390.0
2023-01-19,1.4,-0.9,3.8,0.5,20.0,236.0,16.0,38.9,1005.2,6.0
2023-01-20,1.1,-1.4,2.8,0.0,0.0,173.0,12.5,29.5,1015.2,0.0
2023-01-21,-0.4,-3.3,2.2,0.0,0.0,32.0,13.7,40.0,1030.1,0.0
